"colpaz6a","q1tb","r6","r15","r16","r18","coll1","edr","q2","colwc10","prov1t","ur1new"
1,"Men",1,0,1,1,NA,2,38,2,800024,1
1,"Men",1,1,1,1,NA,3,35,2,800011,3
2,"Women",0,1,0,1,NA,2,31,2,800005,3
1,"Women",1,0,0,1,5,2,36,2,800011,4
NA,"Women",1,1,1,1,NA,2,46,NA,800016,1
NA,"Women",1,1,1,1,NA,2,34,NA,800003,1
NA,"Men",1,1,1,1,NA,3,37,NA,800003,1
NA,"Men",0,0,0,1,NA,2,50,NA,800023,2
NA,"Women",0,0,0,0,NA,2,21,NA,800009,4
1,"Men",0,0,0,0,1,2,25,1,800021,3
2,"Men",0,0,1,1,NA,1,37,1,800006,4
NA,"Women",1,0,1,0,NA,2,47,NA,800011,3
2,"Men",1,1,1,1,3,3,51,2,800003,1
1,"Women",0,0,0,0,NA,0,71,1,800001,4
NA,"Women",1,1,1,1,NA,3,36,NA,800003,1
1,"Men",1,0,1,0,1,0,69,1,800021,2
1,"Men",1,0,1,1,4,2,32,2,800001,1
1,"Women",1,1,1,1,5,2,72,2,800024,4
NA,"Women",0,0,1,0,NA,3,32,NA,800010,4
NA,"Men",0,1,0,1,NA,3,51,NA,800001,1
NA,"Women",1,0,0,1,NA,2,19,NA,800002,1
NA,"Men",0,0,0,1,NA,1,49,NA,800005,4
NA,"Women",1,0,1,1,NA,3,45,NA,800024,4
NA,"Men",1,1,1,1,NA,2,34,NA,800001,2
NA,"Women",0,0,0,0,NA,2,38,NA,800009,3
1,"Women",1,1,1,1,NA,3,35,2,800002,2
NA,"Men",0,0,0,1,NA,2,49,2,800005,3
NA,"Men",1,1,0,1,NA,2,42,NA,800003,1
1,"Women",1,0,0,1,NA,3,26,2,800010,2
1,"Men",0,0,0,0,1,1,43,2,800003,1
1,"Men",1,0,1,0,NA,2,59,2,800002,1
1,"Women",1,0,0,1,NA,1,44,2,800003,1
1,"Men",0,0,0,1,5,3,26,2,800018,NA
2,"Women",0,0,1,1,2,1,31,2,800011,4
NA,"Men",1,0,0,1,NA,1,48,2,800003,1
1,"Women",0,0,0,0,NA,1,68,2,800018,4
1,"Women",1,0,1,1,1,2,59,1,800004,3
NA,"Men",1,0,1,0,NA,2,56,NA,800004,4
1,"Men",1,1,1,1,NA,3,34,1,800001,3
2,"Men",1,1,1,1,NA,2,24,2,800003,1
NA,"Women",0,0,0,1,NA,2,35,NA,800005,4
NA,"Men",1,0,1,1,NA,3,51,NA,800008,4
NA,"Men",0,0,1,1,NA,2,27,NA,800026,4
NA,"Men",1,1,0,1,NA,2,52,NA,800016,1
2,"Men",1,0,1,1,5,2,54,2,800002,4
1,"Men",1,0,0,0,1,2,50,2,800003,1
NA,"Men",1,0,0,0,NA,2,45,NA,800002,1
NA,"Women",1,0,0,0,NA,1,64,NA,800010,3
NA,"Men",1,1,1,1,NA,1,45,NA,800003,1
NA,"Women",1,1,1,1,NA,2,19,NA,800018,2
1,"Women",0,0,0,0,1,1,66,1,800001,3
NA,"Women",0,0,0,0,NA,2,35,NA,800004,3
NA,"Men",1,0,0,1,NA,2,48,NA,800021,1
1,"Men",1,0,1,1,NA,1,59,2,800003,1
2,"Women",1,1,0,1,NA,2,25,2,800011,1
1,"Women",1,1,1,1,NA,2,49,2,800013,1
NA,"Women",1,0,0,0,NA,1,23,NA,800021,4
NA,"Women",0,0,0,0,NA,1,50,NA,800013,4
NA,"Men",1,1,1,1,NA,3,55,NA,800003,1
NA,"Men",1,1,1,1,NA,2,56,NA,800003,1
2,"Women",1,1,1,1,1,3,39,2,800003,1
NA,"Men",1,1,1,1,NA,2,21,NA,800003,1
NA,"Men",1,1,0,1,NA,1,31,NA,800018,4
1,"Women",1,0,1,1,NA,3,34,2,800001,1
2,"Women",1,1,1,1,5,3,30,2,800001,1
NA,"Women",1,1,1,1,2,3,51,2,800001,1
1,"Men",1,0,1,1,1,2,40,1,800001,2
1,"Women",1,0,0,0,NA,2,37,1,800024,1
NA,"Women",0,1,0,1,NA,2,47,NA,800024,1
NA,"Women",1,0,1,0,NA,1,30,NA,800023,4
NA,"Women",0,0,1,1,NA,1,67,NA,800003,2
NA,"Women",1,0,0,1,NA,2,37,NA,800018,1
2,"Women",0,0,0,1,NA,2,20,1,800018,4
2,"Men",0,0,0,1,3,1,52,2,800010,4
NA,"Women",0,0,0,0,NA,1,65,1,800025,3
NA,"Women",0,0,1,1,NA,2,38,NA,800021,4
2,"Men",1,1,1,1,NA,3,64,2,800019,3
NA,"Women",1,0,1,1,NA,2,44,NA,800004,1
1,"Women",1,0,1,0,NA,1,63,1,800016,3
1,"Women",0,0,0,0,5,2,38,1,800021,4
NA,"Men",1,0,1,0,NA,1,52,NA,NA,4
1,"Men",1,0,1,1,4,2,33,1,800024,1
NA,"Men",1,0,0,1,NA,2,47,NA,800024,3
NA,"Women",0,0,0,0,NA,1,48,NA,800006,4
1,"Women",0,0,0,0,5,3,33,1,800015,4
NA,"Women",1,1,1,1,NA,3,24,NA,800024,1
NA,"Women",1,0,0,1,NA,1,48,NA,800011,3
2,"Men",0,0,0,0,5,2,19,1,800004,3
NA,"Women",1,0,1,0,NA,2,37,NA,800022,2
NA,"Women",1,0,0,1,NA,3,28,NA,800026,4
NA,"Women",1,1,1,1,NA,3,31,NA,800001,3
2,"Women",1,1,1,1,1,2,44,2,800003,1
1,"Men",1,1,1,1,3,3,48,1,800003,1
NA,"Men",1,0,1,1,NA,3,20,NA,800003,1
NA,"Women",0,0,0,0,NA,1,46,NA,800011,3
NA,"Women",1,1,1,0,NA,3,21,NA,800006,4
2,"Women",0,1,0,1,5,2,39,2,800021,4
1,"Women",0,0,0,1,4,3,40,2,800005,3
2,"Women",0,0,0,0,2,2,41,1,800022,4
1,"Women",1,0,0,1,NA,2,58,2,800021,1
NA,"Men",0,0,0,1,NA,0,68,NA,800018,1
1,"Women",0,0,0,1,5,3,34,2,800018,4
1,"Men",1,1,1,1,3,3,46,1,800005,1
NA,"Women",0,1,0,1,NA,3,52,NA,800022,1
NA,"Women",0,0,0,0,NA,2,48,NA,800002,1
NA,"Women",0,0,0,0,NA,1,41,NA,800021,1
NA,"Men",1,0,1,1,NA,2,32,1,800022,1
1,"Women",0,0,0,1,NA,2,32,2,800007,4
NA,"Men",0,0,0,0,NA,1,78,NA,800023,4
NA,"Women",1,1,1,1,NA,3,42,NA,800021,1
1,"Men",1,1,1,1,2,3,53,2,800003,1
1,"Men",0,0,1,1,3,3,23,2,800002,1
NA,"Women",0,0,0,1,NA,2,25,NA,800004,3
NA,"Men",0,0,1,0,NA,2,25,NA,800022,4
NA,"Men",0,0,1,1,NA,1,63,NA,800003,1
1,"Women",1,0,1,1,1,3,18,2,800016,3
NA,"Women",0,0,0,1,NA,2,63,NA,800013,3
1,"Women",1,1,1,1,1,2,55,2,800001,4
1,"Men",0,0,0,1,2,2,27,1,800007,4
NA,"Men",0,0,0,1,NA,2,41,NA,800002,1
NA,"Men",0,0,0,0,NA,3,55,NA,800003,1
1,"Women",0,0,1,1,3,2,19,2,800006,4
NA,"Men",0,1,0,1,NA,3,30,NA,800009,1
NA,"Men",0,1,1,1,NA,2,21,NA,800024,1
2,"Women",1,1,1,1,1,3,37,2,800011,2
NA,"Women",0,0,0,0,NA,1,34,NA,800025,3
NA,"Women",0,0,1,0,NA,2,30,NA,800018,4
NA,"Men",1,1,1,1,NA,3,58,NA,800024,1
1,"Men",0,0,0,0,5,1,49,2,800024,3
2,"Women",1,1,1,1,5,3,40,2,800003,1
NA,"Women",1,1,1,1,NA,3,51,NA,800024,1
1,"Men",1,0,1,1,NA,1,50,2,800011,4
NA,"Men",1,1,1,1,NA,2,36,NA,800002,1
1,"Women",0,0,0,0,1,3,51,2,800003,1
2,"Men",1,1,1,1,5,3,53,2,800024,1
NA,"Men",1,1,1,1,NA,3,40,NA,800004,3
1,"Women",1,0,1,0,NA,1,55,1,800001,2
NA,"Women",1,1,1,1,NA,3,39,NA,800006,1
NA,"Men",1,0,1,1,NA,3,18,NA,800018,2
1,"Men",0,0,0,1,5,2,48,2,800003,1
2,"Men",1,1,1,1,3,3,43,2,800011,1
NA,"Men",1,1,1,1,NA,2,19,NA,800009,3
2,"Women",1,1,1,1,NA,2,45,2,800003,1
1,"Men",1,1,1,1,4,3,49,2,800003,1
NA,"Women",1,0,1,0,NA,1,37,NA,800021,4
NA,"Women",1,1,0,1,NA,3,49,NA,800003,1
2,"Women",1,0,0,0,2,2,47,2,800001,2
NA,"Women",1,0,1,0,NA,2,50,NA,800021,3
NA,"Women",1,0,1,1,NA,3,48,NA,800001,3
1,"Women",1,1,1,1,5,3,43,2,800017,1
2,"Women",1,1,1,1,2,3,39,2,800010,1
2,"Men",0,0,0,0,NA,2,48,2,800023,1
2,"Men",1,1,0,1,NA,3,40,2,800003,1
1,"Women",1,0,0,1,NA,3,62,2,800018,2
NA,"Women",0,0,0,0,NA,2,55,NA,800001,1
1,"Women",0,0,0,0,NA,1,40,1,800024,4
NA,"Men",1,0,1,1,NA,2,28,NA,800001,2
1,"Women",1,1,1,1,NA,3,36,2,800002,2
NA,"Women",0,0,1,1,NA,2,46,NA,800023,1
1,"Women",1,1,1,1,NA,3,38,2,800018,1
NA,"Women",0,0,1,1,NA,2,43,NA,800024,1
1,"Women",0,0,0,0,NA,2,43,1,800022,3
2,"Men",1,1,1,1,2,3,18,1,800027,4
NA,"Men",1,1,1,1,NA,3,33,NA,800004,1
NA,"Men",1,1,1,1,NA,3,24,NA,800019,1
NA,"Women",1,0,1,1,NA,2,46,NA,800018,1
NA,"Women",1,0,1,0,NA,2,35,NA,800018,2
2,"Women",1,0,0,1,NA,2,26,2,800003,1
1,"Women",0,0,1,1,1,2,39,1,800018,1
2,"Women",0,0,0,0,NA,3,36,1,800018,3
NA,"Women",0,0,0,0,NA,1,60,1,800001,2
1,"Men",1,1,1,1,3,3,49,2,800024,1
1,"Men",0,0,1,1,NA,2,28,2,800015,1
NA,"Men",1,0,1,1,NA,2,49,NA,800003,1
NA,"Men",1,1,1,1,NA,2,44,NA,800011,3
NA,"Women",0,0,0,0,NA,1,47,NA,800001,3
1,"Women",0,0,0,0,5,2,34,2,800021,1
NA,"Men",1,1,0,1,NA,2,43,NA,800011,4
NA,"Men",1,0,1,1,NA,2,38,NA,800001,1
1,"Women",0,0,0,0,NA,2,37,1,800023,1
NA,"Women",0,0,1,1,NA,2,38,NA,800024,1
1,"Women",0,0,0,0,1,1,37,2,800024,1
NA,"Men",0,0,1,0,NA,2,54,NA,800024,1
1,"Women",1,1,1,1,5,3,35,2,800002,1
NA,"Men",1,0,0,1,NA,1,34,NA,800018,3
NA,"Women",1,1,0,1,NA,3,34,NA,800023,1
NA,"Men",1,1,1,1,NA,2,46,NA,800001,3
NA,"Women",1,1,1,1,NA,3,50,NA,800015,2
NA,"Men",0,0,0,0,NA,2,38,NA,800010,1
NA,"Women",0,0,0,0,NA,2,35,NA,800021,3
1,"Women",1,1,1,1,4,3,40,2,800018,1
NA,"Women",1,1,1,1,NA,3,28,NA,800003,1
2,"Women",0,0,0,1,5,2,36,2,800018,1
1,"Women",1,1,1,1,5,2,21,2,800003,1
NA,"Women",1,0,1,1,NA,3,19,NA,800002,1
NA,"Women",1,0,0,0,NA,2,29,2,800025,4
1,"Men",1,1,0,1,NA,3,39,2,800003,1
1,"Women",0,0,0,1,2,2,23,2,800011,4
NA,"Women",1,0,1,1,NA,3,32,NA,800004,3
2,"Men",0,0,1,1,2,2,29,1,800024,1
1,"Women",1,1,1,1,5,3,31,2,800003,1
1,"Men",1,1,1,1,5,3,33,2,800003,1
1,"Women",0,0,0,1,3,2,58,2,800003,1
1,"Women",0,0,0,1,NA,2,26,1,800006,4
NA,"Women",0,0,0,0,NA,0,70,NA,800022,3
1,"Women",1,1,1,1,3,2,43,1,800003,1
2,"Women",1,0,1,1,NA,3,31,2,800025,1
NA,"Men",1,0,1,1,NA,2,40,NA,800024,1
1,"Women",1,0,0,1,NA,2,38,1,800002,1
NA,"Women",0,0,0,1,NA,3,61,NA,800001,1
2,"Men",1,0,0,1,1,1,52,1,800001,3
2,"Women",0,1,1,1,3,3,57,2,800009,1
2,"Men",1,1,1,1,2,1,60,2,800003,1
2,"Women",1,1,1,1,1,3,40,2,800011,3
NA,"Women",1,0,0,0,NA,2,52,NA,800018,3
NA,"Women",0,0,0,0,NA,1,61,NA,800006,NA
NA,"Men",0,0,0,0,NA,2,50,NA,800018,3
1,"Women",1,0,1,1,5,2,55,2,800005,3
NA,"Women",0,0,0,0,NA,2,45,NA,NA,3
NA,"Women",1,0,1,0,NA,3,36,NA,800001,3
NA,"Men",1,1,1,1,NA,2,38,NA,800003,1
2,"Women",0,0,0,0,5,1,39,1,800006,3
NA,"Women",1,1,1,1,NA,3,30,NA,800003,1
NA,"Women",0,0,0,0,NA,1,62,NA,800005,4
1,"Women",1,0,0,0,2,1,36,2,800014,4
NA,"Women",1,0,0,1,NA,1,66,NA,800018,2
NA,"Men",1,1,1,1,NA,3,44,NA,800019,1
NA,"Women",0,0,0,1,NA,3,40,NA,800003,1
NA,"Women",1,0,0,0,NA,2,60,NA,800004,2
1,"Men",1,1,0,1,1,2,37,1,800013,1
1,"Women",0,0,1,0,2,1,54,2,800003,1
NA,"Women",1,0,0,1,NA,2,29,NA,800010,4
NA,"Women",0,0,1,0,NA,2,34,NA,800032,3
NA,"Men",1,0,0,1,NA,3,27,NA,800021,1
1,"Women",1,1,1,1,2,2,52,1,800021,1
2,"Women",0,0,0,0,NA,1,70,1,800021,1
2,"Women",0,0,0,0,3,3,46,2,800011,2
NA,"Women",0,0,0,0,NA,2,36,NA,800024,1
1,"Men",1,1,1,1,NA,3,60,2,800003,1
NA,"Women",0,0,1,0,NA,1,33,NA,800001,3
NA,"Women",1,1,1,1,NA,3,34,NA,800001,1
1,"Women",1,0,0,0,1,1,64,2,800004,3
2,"Women",1,1,0,1,NA,1,41,2,800018,3
NA,"Men",1,1,1,1,NA,3,40,NA,800023,1
NA,"Men",1,0,1,1,NA,3,36,NA,800021,3
NA,"Women",0,0,0,1,NA,2,33,NA,800010,1
NA,"Women",0,0,0,1,NA,2,26,NA,800026,3
NA,"Women",1,1,1,1,NA,3,45,NA,800003,1
NA,"Women",0,0,0,0,NA,1,47,NA,800018,4
1,"Women",1,1,1,1,4,3,23,2,800003,1
1,"Women",0,0,1,1,5,2,52,2,800016,1
NA,"Men",1,0,1,1,NA,3,51,NA,800004,1
NA,"Women",1,0,0,0,NA,2,27,NA,800009,3
NA,"Men",0,0,1,1,NA,3,40,NA,800024,1
NA,"Women",1,1,1,1,NA,3,43,NA,800011,1
NA,"Men",0,1,1,1,NA,3,41,NA,800024,1
NA,"Women",1,0,0,0,NA,1,51,NA,800009,4
NA,"Men",1,1,1,1,NA,3,56,NA,800003,1
NA,"Women",0,0,0,0,NA,2,36,NA,NA,1
NA,"Women",0,0,0,0,NA,2,40,NA,NA,1
NA,"Men",1,1,1,1,NA,3,29,NA,800011,2
1,"Women",1,1,1,1,NA,2,48,2,800021,1
NA,"Men",1,1,1,1,NA,3,40,NA,800003,1
1,"Women",1,0,0,0,5,2,57,2,800021,1
NA,"Men",0,1,0,1,NA,3,20,NA,800017,1
NA,"Men",1,0,0,1,NA,2,22,NA,800001,1
NA,"Men",1,1,1,1,NA,3,52,NA,800003,1
1,"Women",0,0,0,0,5,0,49,2,800021,4
NA,"Men",1,1,1,1,NA,3,36,NA,800020,1
2,"Women",1,0,0,1,2,3,34,2,800023,3
1,"Women",1,0,1,1,NA,2,20,1,800004,1
1,"Women",1,1,1,1,NA,3,27,2,800003,1
NA,"Women",1,0,0,0,NA,0,70,NA,800001,1
1,"Women",1,0,0,1,NA,2,57,1,800018,1
1,"Men",1,1,1,1,2,3,31,2,800001,1
NA,"Men",1,0,0,0,NA,1,35,NA,800022,4
NA,"Men",0,0,0,1,NA,3,22,NA,800003,1
NA,"Women",0,0,1,0,NA,2,53,NA,NA,4
NA,"Women",1,0,0,0,NA,2,40,NA,800021,1
NA,"Women",0,0,0,0,NA,2,21,2,800011,3
2,"Women",0,0,1,1,1,2,25,2,800003,1
2,"Men",1,0,0,1,1,3,31,1,800010,1
NA,"Women",1,1,1,1,NA,3,32,NA,800021,1
NA,"Men",0,1,0,1,NA,3,20,NA,800003,1
NA,"Women",1,0,0,0,NA,1,43,NA,800001,1
1,"Men",1,1,1,1,4,3,28,1,800003,1
NA,"Men",1,1,1,1,NA,3,52,NA,800002,1
2,"Women",0,0,0,0,NA,2,48,2,800005,3
1,"Men",1,1,1,1,1,3,52,2,800001,1
2,"Women",1,1,1,1,NA,3,48,2,800003,1
2,"Men",1,0,1,1,5,2,18,2,800016,4
NA,"Women",1,0,0,0,NA,2,32,NA,800004,3
NA,"Women",0,0,1,1,NA,3,33,NA,800004,3
2,"Men",1,1,1,1,NA,2,45,2,800001,1
NA,"Women",1,1,1,1,NA,3,29,NA,800016,1
NA,"Men",0,0,0,1,NA,3,44,NA,800026,1
2,"Women",1,0,0,0,1,1,53,2,NA,4
1,"Women",1,1,0,1,2,3,23,2,800011,4
2,"Women",0,1,0,1,NA,2,63,2,800003,1
NA,"Men",1,1,0,1,NA,3,26,NA,800025,4
2,"Women",0,0,0,0,3,1,51,1,800023,4
NA,"Women",0,0,0,0,NA,1,68,NA,800003,1
NA,"Women",0,0,0,1,NA,2,38,NA,800025,1
NA,"Men",1,1,0,1,NA,2,37,NA,800021,3
1,"Women",1,0,1,0,NA,3,34,2,800025,4
NA,"Women",1,0,0,0,NA,2,31,NA,800004,3
NA,"Men",0,1,1,1,NA,2,27,NA,800011,1
NA,"Women",0,0,0,1,NA,3,28,NA,800003,2
1,"Women",0,0,0,1,NA,1,48,2,800003,4
NA,"Men",0,0,0,0,NA,2,40,NA,800022,4
NA,"Men",1,0,0,1,NA,2,54,NA,800004,1
NA,"Women",0,0,0,0,NA,2,54,NA,800017,2
NA,"Women",1,0,1,1,NA,2,65,NA,800018,1
1,"Women",0,0,0,1,5,1,36,2,800003,1
NA,"Women",1,1,1,0,5,2,24,1,800003,1
1,"Men",1,1,1,1,NA,1,49,2,800018,2
NA,"Women",1,1,1,1,NA,3,49,NA,800024,1
NA,"Men",1,1,1,1,NA,2,35,NA,800003,1
1,"Women",1,0,0,1,1,3,47,1,800001,1
NA,"Men",1,1,1,1,NA,3,59,NA,800021,1
1,"Women",1,1,0,1,1,3,32,2,800021,1
2,"Men",1,0,1,0,1,2,30,1,800018,2
NA,"Men",1,1,1,1,NA,3,24,NA,800011,3
NA,"Men",1,0,1,1,NA,2,57,NA,800001,1
NA,"Women",1,0,1,1,NA,2,54,2,800003,1
NA,"Men",1,1,0,1,NA,3,22,NA,800005,3
NA,"Men",1,0,1,1,NA,3,33,NA,800001,3
NA,"Women",0,0,0,0,NA,2,37,NA,800018,3
2,"Women",0,0,1,0,1,1,43,1,800020,2
1,"Women",0,1,0,1,NA,2,56,2,800011,3
NA,"Women",1,1,0,1,NA,2,40,NA,800021,1
NA,"Women",0,0,1,1,NA,2,36,NA,800003,1
NA,"Women",1,0,0,1,NA,2,18,NA,800016,1
1,"Women",0,0,0,1,NA,3,29,1,800001,4
NA,"Women",0,1,0,1,NA,2,51,NA,800013,3
NA,"Women",0,0,0,1,NA,1,81,NA,800019,3
1,"Men",1,1,1,1,5,3,63,2,800011,1
2,"Men",1,1,0,1,5,2,50,2,800024,1
1,"Women",0,1,0,1,5,3,36,2,800016,1
NA,"Women",1,1,1,1,NA,3,23,NA,800021,1
2,"Men",0,0,1,0,2,2,52,1,800018,3
NA,"Men",1,1,1,1,NA,2,32,NA,800024,1
2,"Women",0,0,0,0,1,3,52,1,800025,4
NA,"Women",1,0,0,0,NA,2,65,NA,800004,2
NA,"Women",0,0,0,0,NA,2,35,NA,800015,4
NA,"Women",0,0,0,0,NA,2,38,NA,800001,4
NA,"Women",0,0,0,1,NA,3,36,NA,800003,1
NA,"Women",1,1,0,1,NA,1,59,NA,800018,3
1,"Men",1,0,0,1,1,2,44,1,800014,1
NA,"Women",0,0,0,0,NA,1,45,NA,800018,3
1,"Women",1,1,1,1,1,3,25,1,800023,1
NA,"Women",1,1,1,1,NA,3,35,NA,800019,1
1,"Men",0,0,1,1,NA,2,42,1,800024,3
1,"Women",0,0,0,1,NA,2,42,2,800003,1
2,"Men",0,1,1,0,1,3,48,1,800016,4
NA,"Men",0,0,0,0,NA,3,26,NA,800002,1
NA,"Women",0,0,0,1,NA,2,29,NA,800001,4
NA,"Women",0,1,1,1,NA,3,36,NA,800024,1
NA,"Women",1,1,1,1,NA,3,39,NA,800001,1
NA,"Women",0,0,0,1,NA,3,38,NA,800021,1
NA,"Women",1,1,1,1,1,3,42,2,800024,1
NA,"Women",0,0,0,0,NA,2,51,NA,800004,4
NA,"Women",0,1,0,1,NA,3,23,NA,800018,3
NA,"Women",0,1,0,1,NA,2,28,NA,800001,1
1,"Men",1,0,0,0,3,3,51,2,800010,3
1,"Women",1,0,1,1,NA,3,50,1,800003,1
NA,"Women",0,0,1,1,NA,3,25,NA,800022,3
NA,"Women",1,0,1,0,NA,2,43,NA,800001,3
NA,"Men",1,1,1,1,NA,3,19,NA,800003,1
NA,"Women",0,0,0,1,NA,2,32,NA,800014,4
1,"Women",1,0,1,1,NA,2,55,2,800001,3
2,"Women",1,1,1,1,NA,3,39,2,800003,1
NA,"Women",1,0,0,1,NA,2,35,NA,800018,1
2,"Women",0,0,0,0,NA,3,19,2,800013,4
1,"Women",1,0,0,1,2,2,22,1,800003,1
NA,"Women",0,0,0,1,NA,2,44,NA,800003,1
1,"Women",1,0,1,1,NA,2,30,2,800024,1
NA,"Women",0,1,0,1,NA,3,19,NA,800011,1
1,"Women",1,0,1,1,1,1,50,1,800018,3
NA,"Women",1,0,1,0,NA,0,52,NA,800001,4
NA,"Men",1,0,1,1,NA,2,51,NA,800011,1
1,"Men",1,1,1,1,2,3,79,1,800003,1
1,"Women",0,0,1,1,NA,2,56,2,800003,1
2,"Women",1,1,0,1,NA,2,44,2,800003,1
NA,"Women",0,0,0,0,NA,1,58,NA,800004,4
1,"Men",0,0,0,1,1,3,31,2,800003,1
NA,"Women",0,0,0,1,NA,2,24,NA,800017,4
NA,"Men",0,0,0,0,NA,1,23,NA,800023,4
2,"Women",1,0,0,1,NA,3,53,2,800021,1
NA,"Women",1,0,1,0,NA,2,72,NA,800018,1
1,"Women",0,0,0,0,1,1,50,1,800001,1
NA,"Women",0,0,0,0,NA,2,53,NA,800018,3
NA,"Women",1,0,0,1,NA,2,44,NA,800009,3
NA,"Women",1,1,0,1,NA,3,28,NA,800021,1
NA,"Women",0,0,1,0,NA,2,45,NA,800001,1
2,"Women",0,0,1,0,1,1,48,2,800018,4
1,"Women",1,1,1,1,2,3,38,2,800003,1
NA,"Women",1,1,1,1,NA,3,23,NA,800003,1
1,"Men",1,1,1,1,1,3,31,2,800004,1
2,"Women",0,0,0,1,2,2,63,2,800023,3
2,"Men",0,0,0,1,3,2,22,1,800016,2
NA,"Men",1,1,1,1,NA,3,43,NA,800003,1
NA,"Men",0,0,0,0,NA,1,40,NA,800001,3
1,"Women",1,0,0,1,NA,1,54,2,800001,3
NA,"Women",1,0,0,0,NA,1,70,NA,800001,4
2,"Women",0,0,1,1,NA,2,45,1,800010,1
NA,"Women",0,0,0,1,NA,2,58,NA,800018,1
1,"Men",1,0,0,0,5,3,65,2,800011,1
NA,"Women",0,0,0,0,NA,2,43,NA,800002,1
NA,"Women",1,1,0,1,NA,2,20,NA,800001,3
2,"Men",1,1,1,1,2,3,50,2,800011,1
NA,"Women",1,1,0,1,NA,3,33,NA,800003,1
NA,"Men",1,1,1,1,NA,3,35,NA,800024,4
2,"Men",1,0,1,1,4,2,39,2,800018,3
NA,"Women",1,0,1,1,NA,2,29,NA,800001,3
1,"Men",0,1,0,1,NA,3,25,2,800020,1
2,"Men",1,1,1,1,NA,2,48,2,800003,1
2,"Men",1,1,1,1,1,2,66,2,800023,1
2,"Women",1,1,0,0,NA,2,62,2,800003,1
NA,"Men",0,1,1,1,NA,2,38,NA,800003,1
1,"Women",1,1,0,1,NA,2,62,2,800003,1
1,"Men",1,1,1,1,3,3,18,1,800013,4
1,"Men",0,0,1,0,NA,2,52,1,800009,1
2,"Women",1,0,1,1,1,2,46,1,800023,3
NA,"Women",0,0,0,0,NA,2,27,NA,800004,4
NA,"Women",1,0,1,0,NA,2,52,NA,800014,2
2,"Women",0,0,0,0,NA,2,41,2,800023,3
1,"Women",1,1,1,1,1,2,54,2,800011,1
NA,"Women",1,1,1,1,NA,3,43,NA,800003,1
NA,"Men",0,0,0,1,NA,3,53,NA,800023,1
1,"Men",1,1,1,1,5,3,33,2,800002,1
2,"Women",0,0,1,1,1,2,36,1,800003,1
1,"Women",0,0,1,0,5,2,39,1,800001,4
NA,"Women",0,0,0,0,NA,1,63,NA,800015,4
1,"Men",0,0,0,0,3,1,74,2,800015,3
1,"Women",1,1,1,1,3,3,26,2,800003,2
2,"Men",1,0,0,0,NA,3,35,1,800016,3
NA,"Men",1,1,0,0,NA,3,32,NA,800001,4
NA,"Women",0,0,0,0,NA,1,75,NA,800020,4
NA,"Men",1,0,0,1,NA,2,50,NA,800003,1
NA,"Men",1,0,0,0,NA,2,59,NA,800010,2
NA,"Men",1,1,1,1,NA,3,31,NA,800011,1
NA,"Men",0,0,0,1,NA,3,51,NA,800005,3
1,"Men",1,1,1,1,3,3,32,2,800003,1
NA,"Women",1,0,0,1,NA,3,18,NA,800011,4
2,"Women",1,0,1,1,1,3,37,2,800024,1
NA,"Men",0,0,1,1,NA,2,42,NA,800011,3
1,"Women",1,1,1,1,1,1,43,1,800018,4
2,"Men",1,1,1,1,1,3,49,1,800001,1
NA,"Women",0,1,1,1,NA,1,58,NA,800018,1
1,"Men",1,1,1,1,5,3,36,1,800013,1
NA,"Women",1,1,1,1,NA,2,18,NA,800002,1
NA,"Women",0,0,0,0,NA,2,34,NA,800018,4
NA,"Women",1,0,0,1,NA,2,66,NA,800004,4
1,"Women",1,1,1,1,4,3,47,2,800011,3
NA,"Women",0,0,0,1,NA,3,40,NA,800001,3
NA,"Women",0,0,1,0,NA,2,46,NA,800004,1
1,"Women",1,1,1,1,1,3,40,2,800003,1
NA,"Men",0,0,0,1,NA,2,21,NA,800027,1
NA,"Men",0,0,0,1,NA,0,31,NA,800016,1
NA,"Women",1,1,1,1,NA,3,23,NA,800003,1
NA,"Men",0,0,0,0,NA,2,40,NA,800001,4
1,"Men",1,1,0,1,1,2,37,1,800001,3
NA,"Men",1,1,0,1,NA,3,32,NA,800017,1
NA,"Men",1,0,0,1,NA,2,30,NA,800024,4
NA,"Women",0,0,0,0,NA,2,46,NA,800003,1
1,"Women",1,0,1,1,4,3,24,2,800011,3
2,"Men",1,0,0,0,2,2,35,1,800001,1
NA,"Men",0,1,0,0,NA,2,53,NA,800011,2
1,"Men",1,1,1,1,3,2,53,2,800003,1
NA,"Women",1,0,1,1,NA,2,24,NA,800021,1
NA,"Men",0,0,0,0,NA,2,30,NA,800001,3
NA,"Women",0,0,0,1,NA,2,31,NA,800017,3
2,"Men",0,0,1,0,1,2,22,2,800021,4
2,"Men",1,0,1,1,2,2,53,1,800024,1
NA,"Men",1,1,1,0,NA,0,49,NA,800024,1
1,"Women",1,0,0,1,NA,2,28,1,800016,1
1,"Women",1,0,0,0,5,3,48,2,800021,3
NA,"Men",1,1,1,1,NA,3,30,NA,800003,1
NA,"Women",1,1,1,1,NA,3,20,NA,800018,1
NA,"Women",1,0,1,0,NA,3,25,NA,800021,1
NA,"Men",1,0,0,1,NA,2,54,NA,800003,1
NA,"Women",1,1,0,1,NA,3,24,NA,800007,3
1,"Men",1,0,1,0,NA,3,30,1,800003,1
